,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-1,-2,2,2,-2,-2,2,-1,-1,-1,-2,-2,2,2,2
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,-2,-2,2,-2,-2,2,2,-2,2,-1,-1,2,-2,1
3,2,2,-2,-2,-2,2,2,2,2,-2,2,2,2,2,2
4,2,2,-2,2,2,-2,2,1,2,2,2,2,2,2,-1
5,2,2,2,-2,2,1,2,2,2,2,2,2,2,1,2
6,2,2,2,-1,2,-2,2,1,1,2,2,2,2,2,2
7,2,1,2,2,2,2,2,2,2,2,2,2,-1,-1,2
8,-1,2,-1,2,2,2,2,1,2,2,-1,-1,2,-1,2
9,2,2,2,-2,2,2,2,2,1,1,1,-1,-1,-2,-2
10,-2,-2,-2,2,2,2,2,2,-1,1,2,1,2,2,-1
11,2,-2,2,2,2,2,2,2,-1,2,2,2,-2,-2,1
12,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
13,2,2,2,2,2,1,1,2,2,2,2,-2,2,2,1
14,2,2,2,-1,2,2,2,2,2,2,2,-1,-1,2,2
15,2,2,2,2,2,-1,-1,-1,-1,2,2,-1,-2,-2,2
16,1,2,2,2,-1,-1,2,-1,2,2,2,-1,2,2,2
17,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,2
18,-1,2,2,2,2,2,2,2,2,2,2,2,-2,2,-1
19,2,2,-1,2,-2,-2,1,2,2,2,2,2,2,-1,2
20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21,2,2,2,2,2,2,2,2,2,2,2,-2,-1,2,-2
22,2,1,1,2,2,2,2,2,-2,-2,-2,-1,-1,-1,2
23,2,-1,2,-2,2,2,2,2,2,2,2,2,-1,2,-1
24,-1,-1,-1,2,2,2,2,2,2,2,2,2,-1,2,-1
25,-2,-2,2,2,1,1,1,2,-1,-1,-1,-1,-1,2,2
26,2,1,2,2,2,2,-2,2,-2,-1,2,2,2,2,-1
27,2,2,2,-2,2,2,2,2,2,1,2,-2,-2,-2,-2
28,2,2,2,2,-2,-1,2,1,2,-1,-1,-2,2,2,2
29,2,2,2,-2,2,2,2,2,-1,-1,-1,-2,1,1,2
30,-1,2,-1,2,-1,-1,-1,2,2,2,2,2,2,2,2
31,2,2,-2,2,2,2,2,2,-2,2,2,2,2,2,1
32,2,-2,2,-1,2,2,-1,-1,-2,-2,2,2,2,2,2
33,-1,2,-2,2,-2,-1,-1,2,2,-2,2,2,2,2,2
34,1,2,2,-1,2,-1,2,2,-2,2,-2,2,2,2,2
35,1,-1,2,-1,2,-2,-2,2,1,2,-2,-1,2,2,2
36,2,1,2,2,2,2,2,2,2,2,-2,-1,2,2,2
37,-2,2,-2,2,-2,2,1,2,2,-2,2,-1,2,2,-1
38,2,2,-2,-2,2,2,2,1,2,2,-2,-2,2,-1,-1
39,2,-2,2,2,2,2,2,2,2,-2,2,-2,2,2,2
40,-1,-1,-1,-1,2,2,2,2,2,2,2,-2,2,-1,2
41,2,2,-2,2,2,-1,-1,2,2,2,2,-2,2,-1,2
42,-2,-2,-2,2,2,2,2,1,2,-1,2,-1,-1,2,2
43,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,-1
44,-2,2,-2,-2,2,2,2,2,-2,2,-1,2,2,1,2
45,2,2,-1,-1,2,-2,-2,-2,2,1,2,2,2,-2,-2
46,2,2,-1,2,2,2,-1,2,2,-2,2,-2,-2,2,2
47,1,-2,-2,-2,2,2,2,2,1,2,-1,-1,2,2,2
48,2,2,2,2,2,-1,2,-1,-2,-2,-2,2,2,2,2
49,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,2
50,2,-1,2,2,2,2,-1,-1,2,-2,2,2,2,2,2
51,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,2,-2,2
